name	density	smiles	can_smiles	source
DMSO	1100	CS(=O)C	CS(C)=O	https://pubchem.ncbi.nlm.nih.gov/compound/679#section=Density&fullscreen=true
2-phenoxyethanol	1109	OCCOC1=CC=CC=C1	OCCOc1ccccc1	https://pubchem.ncbi.nlm.nih.gov/compound/31236#section=Density&fullscreen=true
acetylene (gas)	377	C#C	C#C	https://pubchem.ncbi.nlm.nih.gov/compound/Acetylene#section=Density&fullscreen=true
chlorobenzene	1106	ClC1=CC=CC=C1	Clc1ccccc1	https://pubchem.ncbi.nlm.nih.gov/compound/7964#section=Density&fullscreen=true
heavy water	1107	[2H]O[2H]	[2H]O[2H]	https://www.sigmaaldrich.com/US/en/product/aldrich/756822?srsltid=AfmBOopi_BWZhnDx68-K2e8l53XxtnQUFIhZ5-kFBOIBlP1X-Q4h8vo8
ethylene glycol	1114	OCCO	OCCO	https://pubchem.ncbi.nlm.nih.gov/compound/174#section=Density&fullscreen=true
pyridazine	1103	N1=CC=CC=N1	c1ccnnc1	https://www.sigmaaldrich.com/US/en/product/aldrich/p57204
diethylene glycol	1118	OCCOCCO	OCCOCCO	https://pubchem.ncbi.nlm.nih.gov/compound/8117#section=Density&fullscreen=true
"1,1-dichloroethane"	1175	CC(Cl)Cl	CC(Cl)Cl	https://pubchem.ncbi.nlm.nih.gov/compound/6365#section=Density&fullscreen=true
formic acid	1220	O=CO	O=CO	https://pubchem.ncbi.nlm.nih.gov/compound/284#section=Density&fullscreen=true
methyl chloroformate	1223	O=C(Cl)OC	COC(=O)Cl	https://pubchem.ncbi.nlm.nih.gov/compound/6586#section=Density&fullscreen=true
imidazole	1233	N1C=CN=C1	c1c[nH]cn1	https://www.sigmaaldrich.com/US/en/product/mm/814223?srsltid=AfmBOoppOwguWjcTfDnKz5fB3F0WX2gkY8LKx03_PbVhAuMZiftQ_GrG
"1,2-dichloroethane"	1245	ClCCCl	ClCCCl	https://pubchem.ncbi.nlm.nih.gov/compound/11#section=Density&fullscreen=true
glycerol	1261	OCC(O)CO	OCC(O)CO	https://pubchem.ncbi.nlm.nih.gov/compound/753#section=Density&fullscreen=true
carbon disulfide	1263	S=C=S	S=C=S	https://pubchem.ncbi.nlm.nih.gov/compound/6348#section=Density&fullscreen=true
DCM	1326	ClCCl	ClCCl	https://pubchem.ncbi.nlm.nih.gov/compound/6344#section=Density&fullscreen=true
nitromethane	1137	C[N+](=O)[O-]	C[N+](=O)[O-]	https://pubchem.ncbi.nlm.nih.gov/compound/6375#section=Density&fullscreen=true
nitromethane	1137	CN(=O)=O	C[N+](=O)[O-]	https://pubchem.ncbi.nlm.nih.gov/compound/6375#section=Density&fullscreen=true
oxalyl chloride	1500	C(#[O+])C#[O+].[Cl-].[Cl-]	[Cl-].[Cl-].[O+]#CC#[O+]	https://www.sigmaaldrich.com/US/en/product/aldrich/221015?srsltid=AfmBOooQf34rWH6eW5IyOfVYyZd6J9kMXDg8l2U1n0VGs2RcamywOl0Y
oxalyl chloride	1500	ClC(=O)C(=O)Cl	O=C(Cl)C(=O)Cl	https://www.sigmaaldrich.com/US/en/product/aldrich/221015?srsltid=AfmBOooQf34rWH6eW5IyOfVYyZd6J9kMXDg8l2U1n0VGs2RcamywOl0Y
chloroform	1479	C(Cl)(Cl)Cl	ClC(Cl)Cl	https://pubchem.ncbi.nlm.nih.gov/compound/6212#section=Density&fullscreen=true
TFA	1531	C(=O)(C(F)(F)F)O	O=C(O)C(F)(F)F	https://pubchem.ncbi.nlm.nih.gov/compound/6422#section=Density&fullscreen=true
hydrogen chloride	1180	Cl	Cl	https://www.sigmaaldrich.com/US/en/product/vetec/v800203
phosphorus trichloride	1574	ClP(Cl)Cl	ClP(Cl)Cl	https://pubchem.ncbi.nlm.nih.gov/compound/24387#section=Density&fullscreen=true
carbon tetrachloride	1594	ClC(Cl)(Cl)Cl	ClC(Cl)(Cl)Cl	https://pubchem.ncbi.nlm.nih.gov/compound/5943#section=Density&fullscreen=true
1-iodobutane	1617	ICCCC	CCCCI	https://www.sigmaaldrich.com/US/en/product/aldrich/167304
sulfur dichloride	1621	ClSCl	ClSCl	https://pubchem.ncbi.nlm.nih.gov/compound/25353#section=Density&fullscreen=true
thionyl chloride	1640	O=S(Cl)Cl	O=S(Cl)Cl	https://pubchem.ncbi.nlm.nih.gov/compound/24386#section=Density&fullscreen=true
sulfuryl chloride	1670	ClS(=O)(=O)Cl	O=S(=O)(Cl)Cl	https://pubchem.ncbi.nlm.nih.gov/compound/24648#section=Density&fullscreen=true
titanium tetrachloride	1726	Cl[Ti](Cl)(Cl)Cl	Cl[Ti](Cl)(Cl)Cl	https://pubchem.ncbi.nlm.nih.gov/compound/24193#section=Density&fullscreen=true
propene	505	CC=C	C=CC	https://pubchem.ncbi.nlm.nih.gov/compound/Propylene#section=Density&fullscreen=true
perchloric acid	1768	OCl(=O)(=O)=O	[O-][Cl+3]([O-])([O-])O	https://pubchem.ncbi.nlm.nih.gov/compound/24247#section=Density&fullscreen=true
sulfuric acid	1830	S(O)(O)(=O)=O	O=S(=O)(O)O	https://pubchem.ncbi.nlm.nih.gov/compound/1118#section=Density&fullscreen=true
sulfur trioxide	1920	O=S(=O)=O	O=S(=O)=O	https://pubchem.ncbi.nlm.nih.gov/compound/24682#section=Density&fullscreen=true
sodium hydroxide	2130	[OH-].[Na+]	[Na+].[OH-]	https://pubchem.ncbi.nlm.nih.gov/compound/14798#section=Density&fullscreen=true
sodium hydroxide	2130	O[Na]	O[Na]	https://pubchem.ncbi.nlm.nih.gov/compound/14798#section=Density&fullscreen=true
NaHCO3	2200	[Na]OC(=O)O	O=C(O)O[Na]	https://pubchem.ncbi.nlm.nih.gov/compound/516892#section=Density&fullscreen=true
NaHCO3	2200	C(=O)(O)[O-].[Na+]	O=C([O-])O.[Na+]	https://pubchem.ncbi.nlm.nih.gov/compound/516892#section=Density&fullscreen=true
boron tribromide	2645	BrB(Br)Br	BrB(Br)Br	https://pubchem.ncbi.nlm.nih.gov/compound/25134#section=Density&fullscreen=true
